symbol,direction,zone_type,zone_accuracy,entry_price,stop_price,tp1_price,tp2_price,rr_ratio
SNXUSDT,LONG,DEMAND,normal,1.482,1.53,1.6260000000000001,1.9620000000000004,3.0
SNXUSDT,LONG,DEMAND,normal,1.485,1.534,1.632,1.9749999999999994,3.0
SNXUSDT,LONG,DEMAND,normal,1.484,1.532,1.6280000000000001,1.9640000000000004,3.0
SNXUSDT,LONG,DEMAND,normal,1.483,1.538,1.648,2.0329999999999995,3.0
SNXUSDT,LONG,DEMAND,normal,1.484,1.545,1.6669999999999998,2.0939999999999994,3.0
SNXUSDT,LONG,DEMAND,normal,1.505,1.542,1.6160000000000003,1.8750000000000013,3.0
SNXUSDT,LONG,DEMAND,normal,1.5,1.546,1.6380000000000001,1.9600000000000004,3.0
SNXUSDT,LONG,DEMAND,normal,1.493,1.554,1.676,2.1029999999999998,3.0
SNXUSDT,LONG,DEMAND,normal,1.489,1.563,1.7109999999999996,2.2289999999999983,3.0
SNXUSDT,LONG,DEMAND,normal,1.486,1.548,1.6720000000000002,2.1060000000000008,3.0
SNXUSDT,LONG,DEMAND,normal,1.488,1.552,1.6800000000000002,2.1280000000000006,3.0
SNXUSDT,LONG,DEMAND,normal,1.494,1.555,1.6769999999999998,2.103999999999999,3.0
SNXUSDT,LONG,DEMAND,normal,1.495,1.556,1.678,2.1049999999999995,3.0
YFIUSDT,LONG,DEMAND,accuracy,7129.0,7135.0,7147.0,7189.0,3.0
YFIUSDT,LONG,DEMAND,normal,7300.0,7018.0,8146.0,10120.0,3.0
YFIUSDT,LONG,DEMAND,normal,7337.0,7047.0,8207.0,10237.0,3.0
YFIUSDT,LONG,DEMAND,normal,7253.0,7137.0,7601.0,8413.0,3.0
YFIUSDT,LONG,DEMAND,normal,7248.0,7103.0,7683.0,8698.0,3.0
YFIUSDT,LONG,DEMAND,normal,7284.0,7127.0,7755.0,8854.0,3.0
YFIUSDT,LONG,DEMAND,normal,7258.0,7136.0,7624.0,8478.0,3.0
YFIUSDT,LONG,DEMAND,normal,7253.0,7131.0,7619.0,8473.0,3.0
YFIUSDT,LONG,DEMAND,normal,7336.0,7156.0,7876.0,9136.0,3.0
YFIUSDT,LONG,DEMAND,normal,7325.0,7164.0,7808.0,8935.0,3.0
YFIUSDT,LONG,DEMAND,normal,7278.0,7180.0,7572.0,8258.0,3.0
YFIUSDT,LONG,DEMAND,accuracy,7261.0,7197.0,7453.0,7901.0,3.0
YFIUSDT,LONG,DEMAND,accuracy,7218.0,7197.0,7281.0,7428.0,3.0
YFIUSDT,LONG,DEMAND,normal,7261.0,7174.0,7522.0,8131.0,3.0
LUNAUSDT,LONG,DEMAND,accuracy,0.3131,0.3152,0.31939999999999996,0.3340999999999999,3.0
LUNAUSDT,LONG,DEMAND,accuracy,0.3202,0.3105,0.34929999999999994,0.41719999999999985,3.0
LUNAUSDT,LONG,DEMAND,normal,0.3235,0.3084,0.3688,0.47450000000000003,3.0
LUNAUSDT,LONG,DEMAND,normal,0.3259,0.3097,0.37450000000000017,0.4879000000000005,3.0
LUNAUSDT,LONG,DEMAND,normal,0.3276,0.3119,0.3747,0.4845999999999999,3.0
LUNAUSDT,LONG,DEMAND,normal,0.3253,0.3125,0.3636999999999999,0.45329999999999976,3.0
LUNAUSDT,LONG,DEMAND,normal,0.3239,0.3134,0.35540000000000005,0.4289000000000001,3.0
LUNAUSDT,LONG,DEMAND,normal,0.3225,0.3154,0.3438,0.39349999999999996,3.0
LUNAUSDT,LONG,DEMAND,normal,0.3226,0.3171,0.3391,0.37760000000000005,3.0
LUNAUSDT,LONG,DEMAND,normal,0.3227,0.3177,0.3377,0.37270000000000003,3.0
LUNAUSDT,LONG,DEMAND,normal,0.3224,0.3149,0.34490000000000004,0.3974000000000001,3.0
